locus_tag	ftype	length_bp	gene	EC_number	COG	product
NOGGKBHB_01046	CDS	2598	pepN	3.4.11.2	COG0308	Aminopeptidase N
NOGGKBHB_01047	CDS	561	pal_2			Peptidoglycan-associated lipoprotein
NOGGKBHB_01048	CDS	579				hypothetical protein
NOGGKBHB_01049	CDS	759				hypothetical protein
NOGGKBHB_01050	CDS	807				hypothetical protein
NOGGKBHB_01051	CDS	1002				hypothetical protein
NOGGKBHB_01052	CDS	561				hypothetical protein
NOGGKBHB_01053	CDS	669				hypothetical protein
NOGGKBHB_01054	CDS	1329		3.1.1.32	COG2829	Putative phospholipase A1
NOGGKBHB_01055	CDS	456				hypothetical protein
NOGGKBHB_01056	CDS	717	rph	2.7.7.56	COG0689	Ribonuclease PH
NOGGKBHB_01057	CDS	1713	fadD_1	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
NOGGKBHB_01058	CDS	1686	fadD_2	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
NOGGKBHB_01059	CDS	1230	coaBC		COG0452	Coenzyme A biosynthesis bifunctional protein CoaBC
NOGGKBHB_01060	CDS	1230	nhaA		COG3004	Na(+)/H(+) antiporter NhaA
NOGGKBHB_01061	CDS	462				hypothetical protein
NOGGKBHB_01062	CDS	312	rnfH			Protein RnfH
NOGGKBHB_01063	CDS	1095				hypothetical protein
NOGGKBHB_01064	CDS	693	cc4		COG2863	Cytochrome c4
NOGGKBHB_01065	CDS	294				hypothetical protein
NOGGKBHB_01066	CDS	1443	cysS	6.1.1.16	COG0215	Cysteine--tRNA ligase
NOGGKBHB_01067	CDS	2052	metG	6.1.1.10	COG0073	Methionine--tRNA ligase
NOGGKBHB_01068	CDS	1389	wax-dgaT	2.3.1.20		O-acyltransferase WSD
NOGGKBHB_01069	CDS	783	thiG	2.8.1.10	COG2022	Thiazole synthase
NOGGKBHB_01070	tRNA	76				tRNA-His(gtg)
NOGGKBHB_01071	tRNA	77				tRNA-Arg(tct)
NOGGKBHB_01072	tRNA	77				tRNA-Pro(tgg)
NOGGKBHB_01073	CDS	324				hypothetical protein
NOGGKBHB_01074	tRNA	85				tRNA-Leu(tag)
NOGGKBHB_01075	tRNA	77				tRNA-Met(cat)
NOGGKBHB_01076	CDS	141				hypothetical protein
NOGGKBHB_01077	CDS	834	suhB	3.1.3.25	COG0483	Inositol-1-monophosphatase
NOGGKBHB_01078	CDS	2097	dxs	2.2.1.7	COG1154	1-deoxy-D-xylulose-5-phosphate synthase
NOGGKBHB_01079	CDS	609	ribA	3.5.4.25	COG0807	GTP cyclohydrolase-2
NOGGKBHB_01080	CDS	963	hemF	1.3.3.3	COG0408	Oxygen-dependent coproporphyrinogen-III oxidase
NOGGKBHB_01081	CDS	459				hypothetical protein
NOGGKBHB_01082	CDS	309				hypothetical protein
NOGGKBHB_01083	CDS	384	dmdD	4.2.1.155	COG1024	Methylthioacryloyl-CoA hydratase
NOGGKBHB_01084	CDS	1098				hypothetical protein
NOGGKBHB_01085	CDS	1188				hypothetical protein
NOGGKBHB_01086	CDS	1329	folC	6.3.2.12	COG0285	Dihydrofolate synthase/folylpolyglutamate synthase
NOGGKBHB_01087	CDS	558				hypothetical protein
NOGGKBHB_01088	CDS	882	accD	2.1.3.15	COG0777	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta
NOGGKBHB_01089	CDS	843	trpA	4.2.1.20	COG0159	Tryptophan synthase alpha chain
NOGGKBHB_01090	CDS	1215	trpB	4.2.1.20	COG0133	Tryptophan synthase beta chain
NOGGKBHB_01091	CDS	636	trpF	5.3.1.24	COG0135	N-(5'-phosphoribosyl)anthranilate isomerase
NOGGKBHB_01092	CDS	1719	proS	6.1.1.15	COG0442	Proline--tRNA ligase
NOGGKBHB_01093	CDS	843	queF	1.7.1.13	COG0780	NADPH-dependent 7-cyano-7-deazaguanine reductase
NOGGKBHB_01094	CDS	774	yadH		COG0842	Inner membrane transport permease YadH
NOGGKBHB_01095	CDS	969	yadG		COG1131	putative ABC transporter ATP-binding protein YadG
NOGGKBHB_01096	CDS	546				hypothetical protein
NOGGKBHB_01097	tRNA	77				tRNA-Arg(ccg)
NOGGKBHB_01098	CDS	537	gloA	4.4.1.5		Lactoylglutathione lyase
NOGGKBHB_01099	CDS	627	cynT	4.2.1.1	COG0288	Carbonic anhydrase
NOGGKBHB_01100	CDS	945				hypothetical protein
NOGGKBHB_01101	CDS	1119	aroB	4.2.3.4	COG0337	3-dehydroquinate synthase
NOGGKBHB_01102	CDS	636	aroK	2.7.1.71		Shikimate kinase
NOGGKBHB_01103	CDS	1422	pilQ		COG4796	Type IV pilus biogenesis and competence protein PilQ
NOGGKBHB_01104	CDS	651				hypothetical protein
NOGGKBHB_01105	CDS	639				hypothetical protein
NOGGKBHB_01106	CDS	1878				hypothetical protein
NOGGKBHB_01107	CDS	1470	miaB	2.8.4.3	COG0621	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
NOGGKBHB_01108	CDS	2010	slt	4.2.2.-	COG0741	Soluble lytic murein transglycosylase
NOGGKBHB_01109	CDS	987	mdh	1.1.1.37		Malate dehydrogenase
NOGGKBHB_01110	CDS	246				hypothetical protein
NOGGKBHB_01111	rRNA	109				5S ribosomal RNA
NOGGKBHB_01112	CDS	654				hypothetical protein
NOGGKBHB_01113	CDS	513				hypothetical protein
NOGGKBHB_01114	CDS	369				hypothetical protein
NOGGKBHB_01115	CDS	372				hypothetical protein
NOGGKBHB_01116	CDS	1140				hypothetical protein
NOGGKBHB_01117	CDS	534				hypothetical protein
NOGGKBHB_01118	CDS	678	hchA	3.5.1.124		Protein/nucleic acid deglycase HchA
NOGGKBHB_01119	CDS	645	opuCD		COG1174	Carnitine transport permease protein OpuCD
NOGGKBHB_01120	CDS	882	opuCC		COG1732	Carnitine transport binding protein OpuCC
NOGGKBHB_01121	CDS	252				hypothetical protein
NOGGKBHB_01122	CDS	1497	gabD	1.2.1.79	COG1012	Succinate-semialdehyde dehydrogenase [NADP(+)] GabD
NOGGKBHB_01123	CDS	1251				hypothetical protein
NOGGKBHB_01124	CDS	1080	prfA		COG0216	Peptide chain release factor RF1
NOGGKBHB_01125	CDS	858	nadC	2.4.2.19	COG0157	putative nicotinate-nucleotide pyrophosphorylase [carboxylating]
NOGGKBHB_01126	CDS	939				hypothetical protein
NOGGKBHB_01127	CDS	1113	nadA	2.5.1.72	COG0379	Quinolinate synthase A
NOGGKBHB_01128	CDS	1560	nadB	1.4.3.16	COG0029	L-aspartate oxidase
NOGGKBHB_01129	CDS	900				hypothetical protein
NOGGKBHB_01130	CDS	549	tolQ_1			Tol-Pal system protein TolQ
NOGGKBHB_01131	CDS	402	exbD_1		COG0848	Biopolymer transport protein ExbD
NOGGKBHB_01132	CDS	639	yciB		COG2917	Intracellular septation protein
NOGGKBHB_01133	CDS	2463	lon	3.4.21.53	COG0466	Lon protease
NOGGKBHB_01134	CDS	1371				hypothetical protein
NOGGKBHB_01135	CDS	1854	kefC		COG0475	Glutathione-regulated potassium-efflux system protein KefC
NOGGKBHB_01136	CDS	1296	zntB			Zinc transport protein ZntB
NOGGKBHB_01137	CDS	1293	hisZ		COG3705	ATP phosphoribosyltransferase regulatory subunit
NOGGKBHB_01138	CDS	1290	purA	6.3.4.4	COG0104	Adenylosuccinate synthetase
NOGGKBHB_01139	CDS	444				hypothetical protein
NOGGKBHB_01140	CDS	393				hypothetical protein
NOGGKBHB_01141	CDS	624				hypothetical protein
NOGGKBHB_01142	CDS	570	pigA	1.14.99.58	COG3230	Heme oxygenase PigA
NOGGKBHB_01143	CDS	714	nth_2	4.2.99.18	COG0177	Endonuclease III
NOGGKBHB_01144	CDS	2382				hypothetical protein
NOGGKBHB_01145	CDS	678	rsmG	2.1.1.170	COG0357	Ribosomal RNA small subunit methyltransferase G
NOGGKBHB_01146	CDS	786	parA			Chromosome partitioning protein ParA
NOGGKBHB_01147	CDS	282				hypothetical protein
NOGGKBHB_01148	CDS	1044	noc			Nucleoid occlusion protein
NOGGKBHB_01149	CDS	1038	lpxK	2.7.1.130	COG1663	Tetraacyldisaccharide 4'-kinase
NOGGKBHB_01150	CDS	762	kdsB	2.7.7.38		3-deoxy-manno-octulosonate cytidylyltransferase
NOGGKBHB_01151	CDS	582	gpmA	5.4.2.11		2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
NOGGKBHB_01152	CDS	972	holB	2.7.7.7	COG0470	DNA polymerase III subunit delta'
NOGGKBHB_01153	CDS	1209	lldD	1.1.-.-	COG1304	L-lactate dehydrogenase
NOGGKBHB_01154	CDS	1755	lutP		COG1620	L-lactate permease
NOGGKBHB_01155	CDS	1011				hypothetical protein
NOGGKBHB_01156	CDS	717	fabR		COG1309	HTH-type transcriptional repressor FabR
NOGGKBHB_01157	CDS	474				hypothetical protein
NOGGKBHB_01158	CDS	1092	ychF		COG0012	Ribosome-binding ATPase YchF
NOGGKBHB_01159	CDS	432	ndk	2.7.4.6		Nucleoside diphosphate kinase
NOGGKBHB_01160	CDS	354				hypothetical protein
NOGGKBHB_01161	CDS	645				hypothetical protein
NOGGKBHB_01162	CDS	1101	zapE		COG1485	Cell division protein ZapE
NOGGKBHB_01163	CDS	576	ydjA	1.-.-.-	COG0778	Putative NAD(P)H nitroreductase YdjA
NOGGKBHB_01164	CDS	1329	proC_2	1.5.1.2		Pyrroline-5-carboxylate reductase
NOGGKBHB_01165	CDS	495				hypothetical protein
NOGGKBHB_01166	CDS	543	ybeY	3.1.-.-		Endoribonuclease YbeY
NOGGKBHB_01167	CDS	1098	ybeZ		COG1702	PhoH-like protein
NOGGKBHB_01168	CDS	1344	accC	6.3.4.14	COG0439	Biotin carboxylase
NOGGKBHB_01169	CDS	423	accB		COG0511	Biotin carboxyl carrier protein of acetyl-CoA carboxylase
NOGGKBHB_01170	CDS	636		3.2.2.-	COG1611	Putative cytokinin riboside 5'-monophosphate phosphoribohydrolase
NOGGKBHB_01171	CDS	1224	rnd	3.1.13.5	COG0349	Ribonuclease D
NOGGKBHB_01172	CDS	597	recR		COG0353	Recombination protein RecR
NOGGKBHB_01173	CDS	333			COG0718	Nucleoid-associated protein
NOGGKBHB_01174	CDS	2277	nrdA	1.17.4.1	COG0209	Ribonucleoside-diphosphate reductase 1 subunit alpha
NOGGKBHB_01175	CDS	987	rluB	5.4.99.22	COG1187	Ribosomal large subunit pseudouridine synthase B
NOGGKBHB_01176	CDS	567	scpB		COG1386	Segregation and condensation protein B 
NOGGKBHB_01177	CDS	858	scpA		COG1354	Segregation and condensation protein A
NOGGKBHB_01178	CDS	1062	trpS	6.1.1.2	COG0180	Tryptophan--tRNA ligase
NOGGKBHB_01179	CDS	825	trpC	4.1.1.48		Indole-3-glycerol phosphate synthase
NOGGKBHB_01180	CDS	1092	trpD	2.4.2.18	COG0547	Anthranilate phosphoribosyltransferase
NOGGKBHB_01181	CDS	624	trpG	4.1.3.27	COG0512	Anthranilate synthase component 2
NOGGKBHB_01182	CDS	384	panD	4.1.1.11	COG0853	Aspartate 1-decarboxylase
NOGGKBHB_01183	CDS	1044	lpxP	2.3.1.242	COG1560	Lipid A biosynthesis palmitoleoyltransferase
NOGGKBHB_01184	CDS	1944	uup		COG0488	ABC transporter ATP-binding protein uup
NOGGKBHB_01185	CDS	231	slyX			Protein SlyX
NOGGKBHB_01186	CDS	1380				hypothetical protein
NOGGKBHB_01187	CDS	1062				hypothetical protein
NOGGKBHB_01188	CDS	924	argF	2.1.3.3	COG0078	Ornithine carbamoyltransferase, anabolic
NOGGKBHB_01189	CDS	1146		2.3.1.207	COG0332	Beta-ketodecanoyl-[acyl-carrier-protein] synthase
NOGGKBHB_01190	CDS	954				hypothetical protein
NOGGKBHB_01191	CDS	708	ung	3.2.2.27	COG0692	Uracil-DNA glycosylase
NOGGKBHB_01192	CDS	480	tadA	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
NOGGKBHB_01193	CDS	732	cmk	2.7.4.25		Cytidylate kinase
NOGGKBHB_01194	CDS	1674	rpsA		COG0539	30S ribosomal protein S1
NOGGKBHB_01195	CDS	300	ihfB		COG0776	Integration host factor subunit beta
NOGGKBHB_01196	CDS	402				hypothetical protein
NOGGKBHB_01197	CDS	693	pyrF	4.1.1.23	COG0284	Orotidine 5'-phosphate decarboxylase
NOGGKBHB_01198	CDS	711	queC	6.3.4.20	COG0603	7-cyano-7-deazaguanine synthase
NOGGKBHB_01199	CDS	648				hypothetical protein
NOGGKBHB_01200	CDS	1947	mnmC		COG0665	tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC
NOGGKBHB_01201	CDS	294	yciI		COG2350	Protein YciI
NOGGKBHB_01202	CDS	1269				putative membrane protein
NOGGKBHB_01203	CDS	828	rsxB	7.-.-.-		Ion-translocating oxidoreductase complex subunit B
NOGGKBHB_01204	CDS	873	nudC	3.6.1.22	COG2816	NADH pyrophosphatase
NOGGKBHB_01205	CDS	1299	rnhA	3.1.26.4		Ribonuclease H
NOGGKBHB_01206	CDS	702	trmB_2	2.1.1.33		tRNA (guanine-N(7)-)-methyltransferase
NOGGKBHB_01207	CDS	1209	baiN	1.3.1.114	COG2081	3-dehydro-bile acid delta(4,6)-reductase
NOGGKBHB_01208	CDS	1368	ubiB_2	2.7.-.-		protein kinase UbiB
NOGGKBHB_01209	CDS	1272	purD	6.3.4.13	COG0151	Phosphoribosylamine--glycine ligase
NOGGKBHB_01210	CDS	633	ycgM		COG0179	putative protein YcgM
NOGGKBHB_01211	CDS	990	rdmC	3.1.1.95		Aclacinomycin methylesterase RdmC
NOGGKBHB_01212	CDS	165	rubA		COG1773	Rubredoxin
NOGGKBHB_01213	CDS	1113	pheA			Bifunctional chorismate mutase/prephenate dehydratase
NOGGKBHB_01214	CDS	2316	aroA	2.5.1.19		3-phosphoshikimate 1-carboxyvinyltransferase
NOGGKBHB_01215	CDS	900	rarD		COG2962	Protein RarD
NOGGKBHB_01216	CDS	360	folB	4.1.2.25	COG1539	Dihydroneopterin aldolase
NOGGKBHB_01217	CDS	432				hypothetical protein
NOGGKBHB_01218	CDS	2748	aceE	1.2.4.1	COG2609	Pyruvate dehydrogenase E1 component
NOGGKBHB_01219	CDS	1671	aceF	2.3.1.12	COG0508	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
NOGGKBHB_01220	CDS	807	yghU	1.8.4.-	COG0625	Disulfide-bond oxidoreductase YghU
NOGGKBHB_01221	CDS	4134	recC	3.1.11.5		RecBCD enzyme subunit RecC
NOGGKBHB_01222	CDS	1080	cysP		COG4150	Thiosulfate-binding protein
NOGGKBHB_01223	CDS	1236	metZ	2.5.1.-	COG0626	O-succinylhomoserine sulfhydrylase
NOGGKBHB_01224	CDS	1131	nrdB	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase 1 subunit beta
NOGGKBHB_01225	CDS	312				hypothetical protein
NOGGKBHB_01226	CDS	846				hypothetical protein
NOGGKBHB_01227	CDS	135				hypothetical protein
NOGGKBHB_01228	CDS	1203	nspC	4.1.1.96	COG0019	Carboxynorspermidine/carboxyspermidine decarboxylase
NOGGKBHB_01229	CDS	1251		1.5.1.43		Carboxynorspermidine synthase
NOGGKBHB_01230	CDS	597				hypothetical protein
NOGGKBHB_01231	CDS	447	tsaE		COG0802	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
NOGGKBHB_01232	CDS	1110	miaA	2.5.1.75	COG0324	tRNA dimethylallyltransferase
NOGGKBHB_01233	CDS	633	hfq			RNA-binding protein Hfq
NOGGKBHB_01234	CDS	1020	kdsD	5.3.1.13	COG0517	Arabinose 5-phosphate isomerase KdsD
NOGGKBHB_01235	CDS	522	kdsC	3.1.3.45	COG1778	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC
NOGGKBHB_01236	CDS	576	lptC			Lipopolysaccharide export system protein LptC
NOGGKBHB_01237	CDS	528	lptA		COG1934	Lipopolysaccharide export system protein LptA
NOGGKBHB_01238	CDS	729	lptB	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
NOGGKBHB_01239	CDS	3585	putA		COG0506	Bifunctional protein PutA
NOGGKBHB_01240	CDS	759				hypothetical protein
NOGGKBHB_01241	CDS	1455				hypothetical protein
NOGGKBHB_01242	CDS	1413				hypothetical protein
NOGGKBHB_01243	CDS	114				hypothetical protein
NOGGKBHB_01244	CDS	2124				hypothetical protein
NOGGKBHB_01245	CDS	942	ftsY		COG0552	Signal recognition particle receptor FtsY
NOGGKBHB_01246	CDS	594	ogt	2.1.1.63		Methylated-DNA--protein-cysteine methyltransferase
NOGGKBHB_01247	CDS	1026	pyrD	1.3.5.2	COG0167	Dihydroorotate dehydrogenase (quinone)
NOGGKBHB_01248	CDS	513				hypothetical protein
NOGGKBHB_01249	CDS	1530	purF	2.4.2.14	COG0034	Amidophosphoribosyltransferase
NOGGKBHB_01250	CDS	1407				hypothetical protein
NOGGKBHB_01251	CDS	2115	uvrB		COG0556	UvrABC system protein B
NOGGKBHB_01252	CDS	603				hypothetical protein
NOGGKBHB_01253	CDS	3948	recB	3.1.11.5		RecBCD enzyme subunit RecB
NOGGKBHB_01254	CDS	2058	recD	3.1.11.5		RecBCD enzyme subunit RecD
NOGGKBHB_01255	CDS	1023	dusB	1.3.1.-	COG0042	tRNA-dihydrouridine synthase B
NOGGKBHB_01256	CDS	1554	xseA	3.1.11.6		Exodeoxyribonuclease 7 large subunit
NOGGKBHB_01257	CDS	1107				hypothetical protein
NOGGKBHB_01258	tRNA	87				tRNA-Leu(caa)
NOGGKBHB_01259	CDS	387				hypothetical protein
NOGGKBHB_01260	CDS	219				hypothetical protein
NOGGKBHB_01261	CDS	897				hypothetical protein
NOGGKBHB_01262	CDS	651	prtR		COG2932	HTH-type transcriptional regulator PrtR
NOGGKBHB_01263	CDS	369				hypothetical protein
NOGGKBHB_01264	CDS	993				hypothetical protein
NOGGKBHB_01265	CDS	735				hypothetical protein
NOGGKBHB_01266	CDS	954				hypothetical protein
NOGGKBHB_01267	CDS	243				hypothetical protein
NOGGKBHB_01268	CDS	351				hypothetical protein
NOGGKBHB_01269	CDS	360				hypothetical protein
NOGGKBHB_01270	CDS	348				hypothetical protein
NOGGKBHB_01271	CDS	201				hypothetical protein
NOGGKBHB_01272	CDS	384				hypothetical protein
NOGGKBHB_01273	CDS	189				hypothetical protein
NOGGKBHB_01274	CDS	909				hypothetical protein
NOGGKBHB_01275	CDS	147				hypothetical protein
NOGGKBHB_01276	CDS	462				hypothetical protein
NOGGKBHB_01277	CDS	453				hypothetical protein
NOGGKBHB_01278	CDS	219				hypothetical protein
NOGGKBHB_01279	CDS	828				hypothetical protein
NOGGKBHB_01280	CDS	183				hypothetical protein
NOGGKBHB_01281	CDS	282				hypothetical protein
NOGGKBHB_01282	CDS	3987				hypothetical protein
NOGGKBHB_01283	CDS	333				hypothetical protein
NOGGKBHB_01284	CDS	390				hypothetical protein
NOGGKBHB_01285	CDS	669				hypothetical protein
NOGGKBHB_01286	CDS	204				hypothetical protein
NOGGKBHB_01287	CDS	123				hypothetical protein
NOGGKBHB_01288	CDS	792				hypothetical protein
NOGGKBHB_01289	CDS	183	hicB		COG1598	Antitoxin HicB
NOGGKBHB_01290	CDS	1101				hypothetical protein
NOGGKBHB_01291	CDS	1179				hypothetical protein
NOGGKBHB_01292	CDS	1164				hypothetical protein
NOGGKBHB_01293	CDS	1497				hypothetical protein
NOGGKBHB_01294	CDS	4173				hypothetical protein
NOGGKBHB_01295	CDS	690	tolQ_2		COG0811	Tol-Pal system protein TolQ
NOGGKBHB_01296	CDS	435	exbD_2		COG0848	Biopolymer transport protein ExbD
NOGGKBHB_01297	CDS	801				hypothetical protein
NOGGKBHB_01298	CDS	1263	tolB		COG0823	Tol-Pal system protein TolB
NOGGKBHB_01299	CDS	3555	mfd	3.6.4.-	COG1197	Transcription-repair-coupling factor
NOGGKBHB_01300	CDS	663	thiE	2.5.1.3		Thiamine-phosphate synthase
NOGGKBHB_01301	CDS	438				hypothetical protein
NOGGKBHB_01302	CDS	198				hypothetical protein
NOGGKBHB_01303	CDS	405				hypothetical protein
NOGGKBHB_01304	CDS	216				hypothetical protein
NOGGKBHB_01305	CDS	546	trmL	2.1.1.207	COG0219	tRNA (cytidine(34)-2'-O)-methyltransferase
NOGGKBHB_01306	CDS	141				hypothetical protein
NOGGKBHB_01307	CDS	1203	hemW		COG0635	Heme chaperone HemW
NOGGKBHB_01308	CDS	1176	rhlB	3.6.4.13	COG0513	ATP-dependent RNA helicase RhlB
NOGGKBHB_01309	CDS	441				hypothetical protein
NOGGKBHB_01310	CDS	879	cysT		COG0555	Sulfate transport system permease protein CysT
NOGGKBHB_01311	CDS	840	cysW		COG4208	Sulfate transport system permease protein CysW
NOGGKBHB_01312	CDS	720	cysA	7.3.2.3	COG1118	Sulfate/thiosulfate import ATP-binding protein CysA
NOGGKBHB_01313	CDS	1419	radA	3.6.4.-	COG1066	DNA repair protein RadA
NOGGKBHB_01314	CDS	1833	pckG	4.1.1.32	COG1274	Phosphoenolpyruvate carboxykinase [GTP]
NOGGKBHB_01315	CDS	636	cwlS	3.4.19.11	COG0791	D-gamma-glutamyl-meso-diaminopimelic acid endopeptidase CwlS
NOGGKBHB_01316	CDS	156				hypothetical protein
NOGGKBHB_01317	CDS	168				hypothetical protein
NOGGKBHB_01318	CDS	558				hypothetical protein
NOGGKBHB_01319	CDS	1209				hypothetical protein
NOGGKBHB_01320	CDS	336	yajC		COG1862	Sec translocon accessory complex subunit YajC
NOGGKBHB_01321	CDS	1878	secD		COG0342	Protein translocase subunit SecD
NOGGKBHB_01322	CDS	1137	secF		COG0341	Protein translocase subunit SecF
NOGGKBHB_01323	CDS	1161				hypothetical protein
NOGGKBHB_01324	CDS	1395	nhaC		COG1757	Na(+)/H(+) antiporter NhaC
NOGGKBHB_01325	CDS	291	hpd_1	1.13.11.27		4-hydroxyphenylpyruvate dioxygenase
NOGGKBHB_01326	CDS	153	hpd_2	1.13.11.27		4-hydroxyphenylpyruvate dioxygenase
NOGGKBHB_01327	CDS	558	hpd_3	1.13.11.27		4-hydroxyphenylpyruvate dioxygenase
NOGGKBHB_01328	CDS	678	gltC			HTH-type transcriptional regulator GltC
NOGGKBHB_01329	CDS	870	dmlR			HTH-type transcriptional regulator DmlR
NOGGKBHB_01330	CDS	2247	ruvB_2	3.6.4.12		Holliday junction ATP-dependent DNA helicase RuvB
NOGGKBHB_01331	CDS	1524	lysS	6.1.1.6	COG1190	Lysine--tRNA ligase
NOGGKBHB_01332	CDS	114				hypothetical protein
NOGGKBHB_01333	CDS	816	xthA	3.1.11.2	COG0708	Exodeoxyribonuclease III
NOGGKBHB_01334	CDS	447	ybgC	3.1.2.-	COG0824	Acyl-CoA thioesterase YbgC
NOGGKBHB_01335	CDS	1071	leuB	1.1.1.85		3-isopropylmalate dehydrogenase
NOGGKBHB_01336	CDS	504				hypothetical protein
NOGGKBHB_01337	CDS	654	leuD1	4.2.1.33	COG0066	3-isopropylmalate dehydratase small subunit 1
NOGGKBHB_01338	CDS	1419	leuC	4.2.1.33	COG0065	3-isopropylmalate dehydratase large subunit
NOGGKBHB_01339	CDS	873	cysL		COG0583	HTH-type transcriptional regulator CysL
NOGGKBHB_01340	CDS	615	ruvA	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
NOGGKBHB_01341	CDS	1038	cbbA	4.1.2.13		Fructose-bisphosphate aldolase
NOGGKBHB_01342	CDS	291				hypothetical protein
NOGGKBHB_01343	CDS	1203	pgk	2.7.2.3	COG0126	Phosphoglycerate kinase
NOGGKBHB_01344	CDS	846	apaH	3.6.1.41	COG0639	Bis(5'-nucleosyl)-tetraphosphatase, symmetrical
NOGGKBHB_01345	CDS	855	rsmA	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
NOGGKBHB_01346	CDS	1161	pdxA	1.1.1.262	COG1995	4-hydroxythreonine-4-phosphate dehydrogenase
NOGGKBHB_01347	CDS	1518	dnaB	3.6.4.12	COG0305	Replicative DNA helicase
NOGGKBHB_01348	CDS	1143	alr	5.1.1.1	COG0787	Alanine racemase, biosynthetic
NOGGKBHB_01349	CDS	759	mipA		COG3713	MltA-interacting protein
NOGGKBHB_01350	CDS	477	bfr_1	1.16.3.1	COG2193	Bacterioferritin
NOGGKBHB_01351	CDS	495	bfr_2	1.16.3.1	COG2193	Bacterioferritin
NOGGKBHB_01352	CDS	195				hypothetical protein
NOGGKBHB_01353	CDS	1422	sdaA	4.3.1.17	COG1760	L-serine dehydratase 1
NOGGKBHB_01354	CDS	405				hypothetical protein
NOGGKBHB_01355	CDS	852	folD			Bifunctional protein FolD protein
NOGGKBHB_01356	CDS	2301	clpA		COG0542	ATP-dependent Clp protease ATP-binding subunit ClpA
NOGGKBHB_01357	CDS	366	clpS			ATP-dependent Clp protease adapter protein ClpS
NOGGKBHB_01358	CDS	762				hypothetical protein
NOGGKBHB_01359	CDS	2211	copA_2	7.2.2.8	COG2217	Copper-exporting P-type ATPase
NOGGKBHB_01360	CDS	768			COG0327	GTP cyclohydrolase 1 type 2 
NOGGKBHB_01361	CDS	840	yfiH	1.10.3.-	COG1496	Polyphenol oxidase
NOGGKBHB_01362	CDS	1068	rluD	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
NOGGKBHB_01363	CDS	1071	bamD			Outer membrane protein assembly factor BamD
NOGGKBHB_01364	CDS	2088	dnaG	2.7.7.-		DNA primase
NOGGKBHB_01365	CDS	195				hypothetical protein
NOGGKBHB_01366	CDS	708				hypothetical protein
NOGGKBHB_01367	CDS	2667	gyrA	5.6.2.2	COG0188	DNA gyrase subunit A
NOGGKBHB_01368	CDS	699				hypothetical protein
NOGGKBHB_01369	CDS	267	rpsT		COG0268	30S ribosomal protein S20
NOGGKBHB_01370	CDS	642	gacA			Response regulator GacA
NOGGKBHB_01371	CDS	1257				hypothetical protein
NOGGKBHB_01372	CDS	1563	gpmI	5.4.2.12	COG0696	2,3-bisphosphoglycerate-independent phosphoglycerate mutase
NOGGKBHB_01373	CDS	588				hypothetical protein
NOGGKBHB_01374	CDS	1314	ghxP		COG2252	Guanine/hypoxanthine permease GhxP
NOGGKBHB_01375	CDS	501				hypothetical protein
NOGGKBHB_01376	CDS	1161				hypothetical protein
NOGGKBHB_01377	CDS	1734			COG1132	putative ABC transporter ATP-binding/permease protein
NOGGKBHB_01378	CDS	1773	cydD		COG4988	ATP-binding/permease protein CydD
NOGGKBHB_01379	CDS	1389	fumC	4.2.1.2	COG0114	Fumarate hydratase class II
NOGGKBHB_01380	CDS	597		6.3.3.2	COG0212	5-formyltetrahydrofolate cyclo-ligase
NOGGKBHB_01381	CDS	708				hypothetical protein
NOGGKBHB_01382	CDS	303				hypothetical protein
NOGGKBHB_01383	CDS	354				hypothetical protein
NOGGKBHB_01384	CDS	681	rpe	5.1.3.1	COG0036	Ribulose-phosphate 3-epimerase
NOGGKBHB_01385	CDS	825	fabI	1.3.1.9	COG0623	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
NOGGKBHB_01386	CDS	606	folE	3.5.4.16	COG0302	GTP cyclohydrolase 1
NOGGKBHB_01387	CDS	1629	clsC	2.7.8.-	COG1502	Cardiolipin synthase C
NOGGKBHB_01388	CDS	117				hypothetical protein
NOGGKBHB_01389	CDS	1530	nanT			Sialic acid transporter NanT
NOGGKBHB_01390	CDS	666	rpiA	5.3.1.6		Ribose-5-phosphate isomerase A
NOGGKBHB_01391	CDS	915	lysO		COG2431	Lysine exporter LysO
NOGGKBHB_01392	CDS	1302	ubiI	1.14.13.240	COG0654	2-octaprenylphenol hydroxylase
NOGGKBHB_01393	CDS	1410	glnA	6.3.1.2	COG0174	Glutamine synthetase
